Leader,Follower,ShiftDays,Correlation,Direction
AAPL,MSFT,25,0.4803487654215361,AAPL→MSFT
MSFT,AAPL,25,-0.40782872044612817,MSFT→AAPL
AAPL,GOOGL,25,0.7137235003431128,AAPL→GOOGL
GOOGL,AAPL,25,0.21312024013958739,GOOGL→AAPL
AAPL,AMZN,25,0.5438231685470375,AAPL→AMZN
AAPL,NVDA,25,0.6963380368099167,AAPL→NVDA
NVDA,AAPL,25,-0.23731319995712094,NVDA→AAPL
AAPL,META,25,0.3414395300388076,AAPL→META
META,AAPL,25,-0.21302949670990745,META→AAPL
AAPL,TSLA,25,0.5028189902565801,AAPL→TSLA
TSLA,AAPL,25,0.2750503869422553,TSLA→AAPL
AAPL,JPM,25,0.36069913294977435,AAPL→JPM
JPM,AAPL,25,-0.23413488970003465,JPM→AAPL
UNH,AAPL,25,0.7461545449908192,UNH→AAPL
AAPL,V,25,-0.40152608823051567,AAPL→V
V,AAPL,25,-0.431852160960795,V→AAPL
AAPL,HD,25,0.7003637607174413,AAPL→HD
HD,AAPL,25,0.26785343119990773,HD→AAPL
AAPL,PG,25,-0.3125977078296267,AAPL→PG
PG,AAPL,25,0.1940901381320013,PG→AAPL
MA,AAPL,25,-0.3830801482256912,MA→AAPL
AAPL,LLY,25,-0.4158858053681452,AAPL→LLY
LLY,AAPL,25,0.39480732663449086,LLY→AAPL
AAPL,AVGO,25,0.4253175238829739,AAPL→AVGO
AVGO,AAPL,25,-0.18698353085019598,AVGO→AAPL
AAPL,XOM,25,0.4487534013867933,AAPL→XOM
AAPL,COST,25,-0.4219373511272094,AAPL→COST
COST,AAPL,25,-0.22648500449745282,COST→AAPL
AAPL,PEP,25,0.47544222287366805,AAPL→PEP
PEP,AAPL,25,0.536076345432151,PEP→AAPL
AAPL,KO,25,-0.5270424750520779,AAPL→KO
KO,AAPL,25,-0.49178102790545236,KO→AAPL
AAPL,PFE,25,0.45174635228246296,AAPL→PFE
PFE,AAPL,25,0.3413764274083831,PFE→AAPL
AAPL,MRK,25,0.36266458609936925,AAPL→MRK
MRK,AAPL,25,0.5992604326303186,MRK→AAPL
AAPL,ORCL,25,0.6297853907928045,AAPL→ORCL
ORCL,AAPL,25,-0.14354265001653943,ORCL→AAPL
AAPL,DIS,25,0.3991785141120212,AAPL→DIS
DIS,AAPL,25,-0.37282932975162253,DIS→AAPL
AAPL,CVX,25,0.48845356591598316,AAPL→CVX
CVX,AAPL,25,0.306579131662852,CVX→AAPL
ADBE,AAPL,25,0.252363690613124,ADBE→AAPL
AAPL,MCD,25,-0.3284311966733909,AAPL→MCD
MCD,AAPL,25,-0.3128574855256344,MCD→AAPL
AAPL,ACN,25,-0.16730081471557065,AAPL→ACN
ACN,AAPL,25,0.32399342237088974,ACN→AAPL
AAPL,DHR,25,0.4393453306531266,AAPL→DHR
DHR,AAPL,25,0.49222445169233886,DHR→AAPL
AAPL,CSCO,25,0.18966568339703707,AAPL→CSCO
CSCO,AAPL,25,-0.3081559646287544,CSCO→AAPL
NFLX,AAPL,25,-0.6340325658853284,NFLX→AAPL
CRM,AAPL,25,0.38309259443202637,CRM→AAPL
LIN,AAPL,25,-0.41734362787025336,LIN→AAPL
AAPL,ABT,25,-0.3809547002779631,AAPL→ABT
ABT,AAPL,25,-0.3041448799356949,ABT→AAPL
AAPL,TXN,25,0.4369752720696159,AAPL→TXN
TXN,AAPL,25,-0.3879068198193807,TXN→AAPL
AAPL,NKE,25,0.5919813287408948,AAPL→NKE
AAPL,TMO,25,0.3822461570499384,AAPL→TMO
TMO,AAPL,25,0.7708387425994668,TMO→AAPL
