Leader,Follower,Shift,Correlation
AAPL,GOOGL,5,0.713532607723417
AAPL,GOOGL,15,0.7342627632740325
AAPL,GOOGL,25,0.7137235003431128
AAPL,HD,5,0.7562524935567366
AAPL,HD,15,0.8608773238601478
AAPL,HD,25,0.7003637607174413
TMO,AAPL,5,0.7564039246702929
TMO,AAPL,15,0.8259250045691485
TMO,AAPL,25,0.7708387425994668
AAPL,LOW,5,0.7058701687534631
AAPL,LOW,15,0.8286258544095269
AAPL,LOW,25,0.7191283949772835
AAPL,USB,5,0.7040236405486254
AAPL,USB,15,0.7914910579555624
AAPL,USB,25,0.7521762006358496
GOOGL,MSFT,5,0.7344212996252559
GOOGL,MSFT,15,0.7968151030499413
GOOGL,MSFT,25,0.8390295921401946
MSFT,NVDA,5,0.88251355397501
MSFT,NVDA,15,0.7810582460868783
NVDA,MSFT,5,0.930286334523336
NVDA,MSFT,15,0.9450168127947536
NVDA,MSFT,25,0.8829652936753849
META,MSFT,5,0.855041233778225
META,MSFT,15,0.8510456885375047
META,MSFT,25,0.8155836771863263
MSFT,JPM,5,0.8507519141965684
MSFT,JPM,15,0.7718755171809147
JPM,MSFT,5,0.8831910880053666
JPM,MSFT,15,0.8688030625479629
JPM,MSFT,25,0.8469170389816946
MSFT,AVGO,5,0.8644585547182481
MSFT,AVGO,15,0.7828337529479286
AVGO,MSFT,5,0.9032984439967806
AVGO,MSFT,15,0.9051188098007434
AVGO,MSFT,25,0.8723016760908817
MSFT,ORCL,5,0.8532174861986451
MSFT,ORCL,15,0.7654540131756654
ORCL,MSFT,5,0.8894769003483695
ORCL,MSFT,15,0.895088483317198
ORCL,MSFT,25,0.9036227366708848
MSFT,CSCO,5,0.8182586441905799
MSFT,CSCO,15,0.7280033554931507
CSCO,MSFT,5,0.8707804005552454
CSCO,MSFT,15,0.8574664063570364
CSCO,MSFT,25,0.8024982001294545
MSFT,NFLX,5,0.7969128687013852
MSFT,NFLX,15,0.8160945302066653
MSFT,NFLX,25,0.802519396908776
AMD,MSFT,5,0.8155076782234899
AMD,MSFT,15,0.8394712721997395
AMD,MSFT,25,0.8185330424884313
CAT,MSFT,5,0.8228722747318117
CAT,MSFT,15,0.8444935008539409
CAT,MSFT,25,0.8598507575553596
MS,MSFT,5,0.8687218035358105
MS,MSFT,15,0.873641841498215
MS,MSFT,25,0.8726379454464134
MSFT,INTU,5,0.7613967614614378
MSFT,INTU,15,0.7928817215085029
MSFT,INTU,25,0.7729171224955801
