Leader,Follower,ShiftDays,Correlation,Direction,Shift
RTX,GE,5,0.9655843916339704,RTX→GE,5
GE,RTX,5,0.9544115193907048,GE→RTX,5
RTX,GE,15,0.952227864853598,RTX→GE,15
C,GS,5,0.9497241844965972,C→GS,5
C,AVGO,5,0.9466985603137098,C→AVGO,5
NVDA,MSFT,15,0.9450168127947536,NVDA→MSFT,15
C,JPM,5,0.9432107792324732,C→JPM,5
GS,C,5,0.9432025822812504,GS→C,5
BLK,NVDA,5,0.9401889733122532,BLK→NVDA,5
MO,RTX,25,0.9343105397461527,MO→RTX,25
GS,JPM,5,0.9339013660164238,GS→JPM,5
GS,MS,5,0.9310721717561262,GS→MS,5
JPM,C,5,0.9310204876149574,JPM→C,5
NVDA,MSFT,5,0.930286334523336,NVDA→MSFT,5
GS,AVGO,5,0.9301789356163154,GS→AVGO,5
AMD,CAT,5,0.9301737834467894,AMD→CAT,5
RTX,GE,25,0.9297730826593196,RTX→GE,25
MO,RTX,15,0.925579665704367,MO→RTX,15
CAT,ORCL,5,0.9247071446270588,CAT→ORCL,5
JPM,AVGO,5,0.9244401918120904,JPM→AVGO,5
JPM,GS,5,0.9238960922377292,JPM→GS,5
MO,RTX,5,0.9237723390119594,MO→RTX,5
NSC,NVDA,5,0.9219421187136684,NSC→NVDA,5
GS,ORCL,5,0.9205399108572436,GS→ORCL,5
GE,JPM,5,0.9196293981200064,GE→JPM,5
CAT,AMD,5,0.9196191500273068,CAT→AMD,5
CSCO,GE,5,0.919391558878853,CSCO→GE,5
ORCL,GS,5,0.9193344501477868,ORCL→GS,5
CSCO,JPM,5,0.9173064572364744,CSCO→JPM,5
MS,GS,5,0.9168319702490324,MS→GS,5
MO,GE,25,0.9157398629386344,MO→GE,25
CME,PM,5,0.9154188579547684,CME→PM,5
GE,RTX,15,0.9147979861881084,GE→RTX,15
PM,CME,5,0.9146544456040792,PM→CME,5
MO,GE,15,0.9138456963450816,MO→GE,15
BLK,ORCL,5,0.9138141500472916,BLK→ORCL,5
JPM,GE,5,0.912991815053112,JPM→GE,5
C,AVGO,15,0.9129170675465852,C→AVGO,15
C,MSFT,25,0.9127035071800746,C→MSFT,25
NSC,ORCL,5,0.9125400691549114,NSC→ORCL,5
NVDA,ORCL,5,0.9122784584668948,NVDA→ORCL,5
ORCL,NVDA,5,0.9106324896520068,ORCL→NVDA,5
GE,AVGO,5,0.910468080629425,GE→AVGO,5
C,MS,5,0.9103582582333072,C→MS,5
MO,GE,5,0.9099697599846724,MO→GE,5
LRCX,ORCL,5,0.9088015011532818,LRCX→ORCL,5
DUK,SO,5,0.9083292873579604,DUK→SO,5
C,MSFT,15,0.9076916072600912,C→MSFT,15
LRCX,AVGO,5,0.9071231828360152,LRCX→AVGO,5
UNH,BDX,15,0.906559543894754,UNH→BDX,15
GS,MSFT,15,0.9063801866281748,GS→MSFT,15
CAT,ORCL,15,0.9058118147316347,CAT→ORCL,15
AMD,ORCL,15,0.9053840442747222,AMD→ORCL,15
GE,SCHW,5,0.9051427004904308,GE→SCHW,5
AVGO,MSFT,15,0.9051188098007434,AVGO→MSFT,15
ACN,CRM,5,0.904869499423438,ACN→CRM,5
AVGO,C,5,0.9048288529322964,AVGO→C,5
GS,MSFT,25,0.9041998931128592,GS→MSFT,25
AMD,LRCX,15,0.9038272692379844,AMD→LRCX,15
GS,MSFT,5,0.9036655134247814,GS→MSFT,5
ORCL,MSFT,25,0.9036227366708848,ORCL→MSFT,25
AVGO,MSFT,5,0.9032984439967806,AVGO→MSFT,5
C,COF,5,0.9032109848125972,C→COF,5
RTX,NFLX,25,0.903091987648478,RTX→NFLX,25
SCHW,GE,5,0.9030701020606194,SCHW→GE,5
BLK,MSFT,5,0.9027535868524288,BLK→MSFT,5
CAT,NVDA,5,0.9027492453216458,CAT→NVDA,5
MS,ORCL,5,0.9021656231655428,MS→ORCL,5
CME,PM,15,0.9020430190819722,CME→PM,15
MO,DUK,5,0.9018728356208244,MO→DUK,5
GS,NVDA,5,0.9015882997494482,GS→NVDA,5
C,GE,5,0.9015072547828564,C→GE,5
JPM,COF,5,0.9014112531748764,JPM→COF,5
MO,SO,15,0.9013240191835902,MO→SO,15
BLK,CAT,5,0.900657030052015,BLK→CAT,5
